1,6,2149,1
2,4,2186,1
3,1,1083,1
4,2.5,1413,1
5,30,1650,1
6,3,2186,2
7,70,1037,2
8,2,1345,2
9,120,1754,2
10,2,2193,2
11,50,436,2
12,0,2194,2
13,2,2180,3
14,4,2186,3
15,100,194,3
16,1,7,3
17,0,2194,3
18,0,2195,3
19,1,2196,3
20,2,812,4
21,120,149,4
22,2,2186,4
23,60,1423,4
24,450,281,5
25,0.5,2197,5
26,4,1055,5
27,3,2198,5
28,1.5,252,5
29,300,1102,5
30,400,1351,5
31,400,2199,5
32,400,1927,5
33,0,2200,5
34,0,2201,5
35,1,2202,5
36,250,521,5
37,3,2204,6
38,400,2203,6
39,1,2197,6
40,5,1084,6
41,1,2205,6
42,0,2194,6
43,0,2206,6
44,1,2207,6
45,300,2208,6
46,800,782,7
47,1,2209,7
48,0,2210,7
49,200,1782,7
50,2,2211,8
51,2,2212,8
52,1,2213,8
53,0.5,2214,8
54,2,1688,8
55,0,2210,8
56,1,2215,8
57,1,1055,8
58,200,531,8
59,50,1492,8
60,20,767,8
61,200,1747,9
62,1,2216,9
63,10,1314,9
64,10,80,9
65,3,1170,9
66,3,2077,9
67,0,2200,9
68,3,2207,9
69,1,2197,9
70,2,2186,9
71,60,232,9
72,600,281,9
73,400,1596,9
74,150,194,9
75,250,1077,9
76,80,2199,9
